iter	Passed	Remaining
0	1	1613
1	2	1047
2	2	840
3	3	751
4	3	687
5	3	640
6	4	611
7	4	585
8	5	570
9	5	561
10	6	569
11	6	569
12	7	562
13	7	555
14	8	551
15	8	545
16	9	542
17	9	539
18	10	533
19	10	531
20	11	527
21	11	524
22	12	519
23	12	515
24	13	512
25	13	508
26	14	506
27	14	506
28	15	504
29	15	502
30	15	499
31	16	498
32	16	495
33	17	494
34	17	492
35	18	491
36	18	489
37	19	488
38	20	496
39	20	494
40	21	493
41	21	490
42	21	489
43	22	487
44	22	486
45	23	485
46	23	483
47	24	483
48	24	483
49	25	481
50	25	481
51	26	480
52	26	479
53	27	478
54	27	476
55	28	474
56	28	473
57	29	472
58	29	471
59	29	469
60	30	469
61	30	468
62	31	467
63	31	466
64	32	465
65	32	465
66	33	463
67	33	462
68	34	461
69	34	460
70	35	459
71	35	458
72	36	457
73	36	456
74	36	455
75	37	454
76	38	458
77	38	457
78	39	456
79	40	461
80	40	460
81	41	462
82	42	468
83	42	468
84	43	467
85	43	466
86	44	465
87	44	464
88	46	471
89	46	470
90	46	469
91	47	468
92	47	466
93	48	466
94	48	465
95	49	464
96	49	463
97	50	462
98	50	461
99	51	460
100	51	460
101	52	459
102	52	458
103	53	458
104	53	457
105	54	456
106	54	456
107	55	455
108	55	454
109	56	453
110	56	452
111	57	454
112	57	453
113	58	453
114	58	452
115	59	452
116	59	452
117	60	451
118	60	450
119	61	450
120	61	449
121	62	448
122	62	447
123	63	447
124	63	446
125	64	445
126	64	444
127	65	444
128	65	444
129	66	443
130	66	442
131	67	442
132	67	441
133	68	440
134	68	440
135	69	439
136	69	438
137	70	438
138	70	437
139	71	436
140	71	435
141	72	435
142	72	434
143	72	433
144	73	432
145	74	434
146	74	433
147	75	433
148	75	432
149	76	431
150	76	430
151	77	430
152	77	429
153	77	428
154	78	427
155	78	426
156	79	426
157	79	425
158	80	424
159	80	424
160	81	423
161	81	423
162	82	422
163	82	421
164	83	421
165	83	420
166	84	420
167	84	419
168	85	419
169	85	418
170	87	426
171	88	426
172	88	425
173	89	425
174	90	424
175	90	424
176	91	424
177	91	423
178	92	424
179	93	424
180	93	423
181	94	423
182	94	422
183	95	422
184	95	421
185	96	421
186	96	420
187	97	419
188	97	419
189	98	420
190	99	420
191	99	420
192	100	421
193	101	420
194	101	420
195	102	419
196	102	419
197	103	418
198	103	418
199	104	417
200	104	417
201	106	420
202	106	419
203	107	418
204	107	417
205	108	417
206	108	417
207	109	416
208	109	416
209	110	415
210	111	415
211	111	414
212	112	413
213	112	413
214	113	412
215	113	412
216	114	411
217	114	411
218	115	410
219	115	410
220	116	409
221	116	409
222	117	408
223	117	408
224	118	408
225	119	407
226	119	406
227	119	406
228	120	405
229	120	404
230	121	404
